"Site ID","Post ID",Title,Location,Type,"Post Name","Post Status"
1,43909,"Safe for Work",https://shipstation.com/promos/safe-for-work/,promos,safe-for-work,publish
1,43910,Mafia,https://shipstation.com/promos/mafia/,promos,mafia,publish
1,43911,Millennial,https://shipstation.com/promos/millennial/,promos,millennial,publish
1,43912,"Value Town",https://shipstation.com/promos/value-town/,promos,value-town,publish
1,43913,"The Totally Football League Show",https://shipstation.com/promos/the-totally-football-league-show/,promos,the-totally-football-league-show,publish
1,43914,"The Totally Football Show",https://shipstation.com/promos/the-totally-football-show-2/,promos,the-totally-football-show-2,publish
1,43915,"The Little Dum Dum Club",https://shipstation.com/promos/the-little-dum-dum-club/,promos,the-little-dum-dum-club,publish
1,43916,"Goal Digger",https://shipstation.com/promos/goal-digger/,promos,goal-digger,publish
1,43917,"The Secret Room",https://shipstation.com/promos/the-secret-room/,promos,the-secret-room,publish
1,43918,"The Secret Room",https://shipstation.com/promos/the-secret-room-2/,promos,the-secret-room-2,publish
1,43919,"Craft Industry Alliance",https://shipstation.com/promos/craft-industry-alliance/,promos,craft-industry-alliance,publish
1,43920,"Dude Soup",https://shipstation.com/promos/dude-soup/,promos,dude-soup,publish
1,43921,"Don't Mess with Christine Sydelko",https://shipstation.com/promos/dont-mess-with-christine-sydelko/,promos,dont-mess-with-christine-sydelko,publish
1,43922,"Cox n' Crendor",https://shipstation.com/promos/cox-n-crendor/,promos,cox-n-crendor,publish
1,43923,CCTV,https://shipstation.com/promos/cctv/,promos,cctv,publish
1,43924,"The Know",https://shipstation.com/promos/the-know/,promos,the-know,publish
1,43925,"Raising the Bar",https://shipstation.com/promos/raising-the-bar/,promos,raising-the-bar,publish
1,43926,"Sirius XM Radio",https://shipstation.com/promos/sirius-xm-radio/,promos,sirius-xm-radio,publish
1,43927,"In Hot Water",https://shipstation.com/promos/in-hot-water/,promos,in-hot-water,publish
1,43928,"Life Gets Hairy",https://shipstation.com/promos/life-gets-hairy/,promos,life-gets-hairy,publish
1,43929,"The Cycling",https://shipstation.com/promos/the-cycling/,promos,the-cycling,publish
1,43930,"Open for Business",https://shipstation.com/promos/open-for-business/,promos,open-for-business,publish
1,43931,"Quirks and Quarks",https://shipstation.com/promos/quirks-and-quarks-2/,promos,quirks-and-quarks-2,publish
1,43932,"Felon True Crime",https://shipstation.com/promos/felon-true-crime/,promos,felon-true-crime,publish
1,43933,"Mysterious Universe",https://shipstation.com/promos/mysterious-universe/,promos,mysterious-universe,publish
1,43934,"SiriusXM Radio",https://shipstation.com/promos/siriusxm-radio/,promos,siriusxm-radio,publish
1,43935,"Agnes & Dora",https://shipstation.com/promos/agnes-dora/,promos,agnes-dora,publish
1,43936,"True Murder",https://shipstation.com/promos/true-murder/,promos,true-murder,publish
1,43937,"Science Vs",https://shipstation.com/promos/science-vs/,promos,science-vs,publish
1,43938,Startup,https://shipstation.com/promos/startup/,promos,startup,publish
1,43939,"Alison J Prince",https://shipstation.com/promos/alison-j-prince/,promos,alison-j-prince,publish
1,43940,"Ship Shape",https://shipstation.com/promos/ship-shape/,promos,ship-shape,publish
1,43941,"Natch Beaut",https://shipstation.com/promos/natch-beaut/,promos,natch-beaut,publish
1,43942,"Money for the Rest of Us",https://shipstation.com/promos/money-for-the-rest-of-us/,promos,money-for-the-rest-of-us,publish
1,43943,"Call Her Daddy",https://shipstation.com/promos/call-her-daddy/,promos,call-her-daddy,publish
1,43944,"Chicks in the Office",https://shipstation.com/promos/chicks-in-the-office/,promos,chicks-in-the-office,publish
1,43945,"Failing Upwards",https://shipstation.com/promos/failing-upwards/,promos,failing-upwards,publish
1,43946,"Spittin Chiclets",https://shipstation.com/promos/spittin-chiclets/,promos,spittin-chiclets,publish
1,43947,"Lights Camera Barstool",https://shipstation.com/promos/lights-camera-barstool/,promos,lights-camera-barstool,publish
1,43948,"Fore Play",https://shipstation.com/promos/fore-play/,promos,fore-play,publish
1,43949,"Scrubbing In",https://shipstation.com/promos/scrubbing-in/,promos,scrubbing-in,publish
1,43950,"Adderall and Compliments",https://shipstation.com/promos/adderall-and-compliments/,promos,adderall-and-compliments,publish
1,43951,"Slate Money",https://shipstation.com/promos/slate-money/,promos,slate-money,publish
1,43952,"Barstool Radio",https://shipstation.com/promos/barstool-radio/,promos,barstool-radio,publish
1,43953,"Faction Talk XL",https://shipstation.com/promos/faction-talk-xl/,promos,faction-talk-xl,publish
1,43954,"KIIS FM 102.7",https://shipstation.com/promos/kiis-fm-102-7/,promos,kiis-fm-102-7,publish
1,43955,Z100,https://shipstation.com/promos/z100/,promos,z100,publish
1,43956,"Over My Dead Body",https://shipstation.com/promos/over-my-dead-body/,promos,over-my-dead-body,publish
1,43957,"Heartland Radio 2.0",https://shipstation.com/promos/heartland-radio-2-0/,promos,heartland-radio-2-0,publish
